Date,Category,Payment Mode,Description,Amount Paid,Cashback
2023-09-01,Groceries,Online,Cleaning Supplies,532.92,17.72
2023-09-01,Transportation,Online,Bicycle Repairs,627.83,12.76
2023-09-01,Subscriptions,Cash,Gaming Subscriptions,1037.59,17.92
2023-09-01,Entertainment,Cash,Theater Performances,2765.41,165.74
2023-09-02,Subscriptions,Online,Gaming Subscriptions,1093.28,8.6
2023-09-03,Housing,Online,Mortgage Payment,16928.73,1324.12
2023-09-03,Clothing,Cash,Casual Wear,2232.19,106.44
2023-09-03,Utilities,Online,Mobile Phone Bill,350.75,28.67
2023-09-03,Utilities,Online,Cable TV Subscription,1628.12,76.29
2023-09-03,Groceries,Cash,Snacks And Beverages,343.43,3.68
2023-09-03,Dining Out,Cash,Coffee Shop Visit,257.73,21.35
2023-09-04,Health & Fitness,Cash,Medical Consultations,2893.19,87.76
2023-09-04,Dining Out,Online,Fast Food Meal,250.67,21.77
2023-09-04,Entertainment,Cash,Streaming Equipment,1357.03,32.33
2023-09-05,Utilities,Cash,Maintenance Fees,1197.66,72.34
2023-09-05,Housing,Cash,Appliance Purchases,13718.31,60.17
2023-09-05,Subscriptions,Cash,Digital Magazine Subscriptions,414.45,37.09
2023-09-05,Entertainment,Online,Hobby Supplies,906.3,7.84
2023-09-06,Housing,Online,HOA Fees,2752.25,126.27
2023-09-06,Clothing,Cash,Tailoring Services,549.33,24.67
2023-09-06,Dining Out,Online,Coffee Shop Visit,157.58,1.6
2023-09-07,Entertainment,Online,Art Supplies,1304.29,100.55
2023-09-07,Transportation,Cash,Vehicle Registration Fees,608.23,1.94
2023-09-07,Dining Out,Cash,Dinner At A Restaurant,2486.31,6.79
2023-09-08,Housing,Online,Home Repairs,4541.42,388.31
2023-09-08,Travel,Cash,Airfare,13176.42,73.21
2023-09-08,Dining Out,Cash,Beverages At Bars,393.35,39.27
2023-09-09,Subscriptions,Online,News Websites Subscription,692.78,67.81
2023-09-09,Dining Out,Cash,Desserts And Treats,287.76,2.65
2023-09-09,Subscriptions,Online,Audiobook Services,941.1,19.97
2023-09-09,Dining Out,Online,Coffee Shop Visit,428.17,21.94
2023-09-10,Groceries,Online,Cleaning Supplies,692.02,10.78
2023-09-11,Entertainment,Online,Streaming Equipment,2734.67,146.91
2023-09-12,Housing,Cash,Mortgage Payment,13135.92,1134.63
2023-09-12,Groceries,Online,Meat And Fish,3255.88,149.9
2023-09-12,Utilities,Online,Sewer Charges,899.53,52.09
2023-09-12,Travel,Cash,Car Rentals,1539.87,105.72
2023-09-12,Health & Fitness,Cash,Health Insurance Premiums,2969.99,226.18
2023-09-12,Dining Out,Online,Coffee Shop Visit,177.15,6.87
2023-09-13,Housing,Online,Home Insurance,1570.83,135.05
2023-09-13,Subscriptions,Online,Gaming Subscriptions,1138.29,38.93
2023-09-13,Health & Fitness,Online,Gym Membership,2617.83,29.29
2023-09-13,Travel,Online,Tour Activities,2938.88,202.25
2023-09-14,Transportation,Online,Fuel Costs,6818.94,496.89
2023-09-14,Clothing,Online,Athletic Wear,1450.22,22.72
2023-09-14,Entertainment,Online,Hobby Supplies,508.43,26.01
2023-09-14,Health & Fitness,Cash,Health Screenings,1508.12,54.35
2023-09-14,Entertainment,Online,Board Games,1344.71,61.53
2023-09-14,Dining Out,Online,Dinner At A Restaurant,1415.13,73.87
2023-09-15,Clothing,Cash,Footwear,902.19,74.5
2023-09-15,Dining Out,Online,Coffee Shop Visit,124.05,1.41
2023-09-16,Groceries,Online,Snacks And Beverages,1007.5,38.29
2023-09-17,Clothing,Online,Underwear And Socks,987.12,4.04
2023-09-17,Travel,Cash,Dining While Traveling,2936.79,246.85
2023-09-17,Dining Out,Online,Lunch Takeaway,284.38,24.25
2023-09-17,Housing,Cash,HOA Fees,605.36,56.57
2023-09-18,Utilities,Online,Water Bill,610.77,10.11
2023-09-18,Entertainment,Cash,Books And E-Books,784.79,13.09
2023-09-18,Transportation,Cash,Fuel Costs,9256.22,618.44
2023-09-18,Dining Out,Cash,Coffee Shop Visit,414.44,34.66
2023-09-19,Transportation,Online,Vehicle Registration Fees,837.98,6.47
2023-09-19,Dining Out,Cash,Fast Food Meal,303.75,10.29
2023-09-19,Dining Out,Cash,Special Occasion Dinner,1852.48,99.9
2023-09-19,Transportation,Online,Car Insurance,1841.48,115.27
2023-09-20,Housing,Online,Utilities Included,410.08,12.66
2023-09-20,Travel,Cash,Souvenirs,1503.13,78.35
2023-09-20,Health & Fitness,Online,Wellness Programs,1462.17,36.45
2023-09-21,Transportation,Cash,Fuel Costs,9966.81,809.37
2023-09-21,Dining Out,Online,Dinner At A Restaurant,1902.92,36.72
2023-09-21,Dining Out,Online,Coffee Shop Visit,452.54,13.76
2023-09-22,Groceries,Cash,Dairy Products,1945.09,138.09
2023-09-22,Dining Out,Cash,Lunch Takeaway,324.97,8.77
2023-09-22,Groceries,Online,Frozen Foods,983.78,10.71
2023-09-22,Travel,Cash,Travel Insurance,1059.18,14.39
2023-09-22,Dining Out,Cash,Street Food,159.71,1.26
2023-09-23,Transportation,Online,Car Insurance,1680.58,15.4
