Date,Category,Payment Mode,Description,Amount Paid,Cashback
2023-11-01,Groceries,Cash,Snacks And Beverages,1263.12,50.71
2023-11-01,Entertainment,Cash,Art Supplies,1350.76,43.61
2023-11-01,Subscriptions,Cash,Cloud Storage Services,277.28,10.75
2023-11-01,Health & Fitness,Cash,Physical Therapy Sessions,1172.74,79.62
2023-11-01,Subscriptions,Cash,Cloud Storage Services,355.38,27.77
2023-11-02,Utilities,Online,Cable TV Subscription,1074.77,12.0
2023-11-02,Transportation,Cash,Toll Charges,224.62,10.58
2023-11-03,Transportation,Online,Public Transit Pass,1293.28,79.83
2023-11-03,Dining Out,Online,Coffee Shop Visit,296.92,22.73
2023-11-04,Dining Out,Online,Special Occasion Dinner,3915.72,22.86
2023-11-04,Health & Fitness,Cash,Nutritional Supplements,730.47,2.06
2023-11-04,Clothing,Cash,Casual Wear,1537.48,57.81
2023-11-05,Utilities,Online,Electricity Bill,1505.17,14.86
2023-11-05,Entertainment,Online,Hobby Supplies,679.91,11.4
2023-11-05,Clothing,Cash,Formal Wear,8638.84,390.32
2023-11-05,Transportation,Cash,Bicycle Repairs,510.13,3.39
2023-11-06,Utilities,Online,Water Bill,715.3,50.46
2023-11-06,Utilities,Online,Cable TV Subscription,990.03,17.83
2023-11-06,Dining Out,Cash,Coffee Shop Visit,355.58,34.67
2023-11-07,Groceries,Cash,Dairy Products,1799.82,57.89
2023-11-07,Groceries,Online,Cleaning Supplies,1792.65,174.2
2023-11-07,Dining Out,Cash,Dinner At A Restaurant,2344.74,120.88
2023-11-08,Dining Out,Cash,Brunch With Friends,363.96,21.63
2023-11-08,Utilities,Online,Water Bill,437.79,22.33
2023-11-08,Subscriptions,Cash,Meal Kit Subscriptions,2642.83,106.44
2023-11-09,Groceries,Online,Dairy Products,931.82,79.2
2023-11-09,Subscriptions,Online,Online Learning Platforms,2743.76,15.5
2023-11-09,Dining Out,Online,Coffee Shop Visit,251.09,1.16
2023-11-10,Utilities,Online,Internet Service,776.02,52.23
2023-11-10,Housing,Online,Mortgage Payment,38218.03,3582.52
2023-11-11,Dining Out,Online,Beverages At Bars,499.64,17.68
2023-11-12,Subscriptions,Cash,Cloud Storage Services,316.2,13.88
2023-11-12,Dining Out,Online,Coffee Shop Visit,327.4,24.82
2023-11-12,Entertainment,Online,Art Supplies,705.96,28.97
