Date,Category,Payment Mode,Description,Amount Paid,Cashback
2023-01-01,Clothing,Cash,Athletic Wear,2451.52,93.64
2023-01-01,Health & Fitness,Online,Personal Training Sessions,3199.94,46.8
2023-01-01,Subscriptions,Cash,Cloud Storage Services,459.39,34.12
2023-01-01,Clothing,Online,Formal Wear,2065.88,76.83
2023-01-02,Clothing,Cash,Fashion Accessories,350.35,33.8
2023-01-03,Groceries,Cash,Meat And Fish,1748.55,81.5
2023-01-03,Dining Out,Online,Coffee Shop Visit,456.96,33.91
2023-01-04,Housing,Cash,Utilities Included,186.48,13.84
2023-01-04,Dining Out,Cash,Fast Food Meal,578.71,0.57
2023-01-05,Clothing,Online,Seasonal Clothing,1270.15,75.08
2023-01-05,Utilities,Online,Sewer Charges,676.9,6.0
2023-01-06,Housing,Cash,Furnishings,18344.52,671.39
2023-01-06,Transportation,Online,Bicycle Repairs,468.5,43.32
2023-01-06,Clothing,Cash,Seasonal Clothing,2209.66,20.56
2023-01-06,Entertainment,Cash,Art Supplies,1180.25,13.67
2023-01-06,Dining Out,Cash,Coffee Shop Visit,474.1,4.53
2023-01-07,Transportation,Online,Parking Fees,989.32,6.57
2023-01-07,Dining Out,Cash,Dinner At A Restaurant,1541.58,34.26
2023-01-08,Subscriptions,Online,Digital Magazine Subscriptions,254.87,19.07
2023-01-08,Transportation,Cash,Car Maintenance,2745.62,152.21
2023-01-08,Housing,Online,Home Insurance,1497.11,132.65
2023-01-08,Housing,Cash,Rent Payment,29967.21,2478.23
2023-01-08,Health & Fitness,Cash,Nutritional Supplements,1837.49,34.2
2023-01-09,Health & Fitness,Cash,Health Screenings,1373.22,121.06
2023-01-09,Health & Fitness,Cash,Health Screenings,1853.76,37.47
2023-01-09,Entertainment,Online,Theater Performances,1270.75,15.53
2023-01-09,Clothing,Online,Tailoring Services,208.22,13.87
2023-01-09,Dining Out,Cash,Coffee Shop Visit,479.26,37.25
2023-01-10,Transportation,Cash,Fuel Costs,5428.51,148.74
2023-01-10,Travel,Online,Souvenirs,1866.06,166.36
2023-01-10,Groceries,Cash,Cleaning Supplies,1467.59,7.51
2023-01-10,Groceries,Online,Cleaning Supplies,1579.16,146.96
2023-01-11,Dining Out,Cash,Snacks From A Convenience Store,337.59,6.64
2023-01-12,Health & Fitness,Cash,Physical Therapy Sessions,1538.92,124.53
2023-01-12,Dining Out,Cash,Coffee Shop Visit,399.54,28.1
2023-01-13,Dining Out,Cash,Brunch With Friends,944.89,56.35
2023-01-13,Transportation,Cash,Car Maintenance,4165.38,330.57
2023-01-13,Utilities,Cash,Gas Bill,997.64,22.18
2023-01-13,Housing,Online,Appliance Purchases,8795.42,711.57
2023-01-13,Health & Fitness,Cash,Nutritional Supplements,906.26,40.43
2023-01-14,Travel,Online,Baggage Fees,658.27,51.12
2023-01-14,Dining Out,Online,Dinner At A Restaurant,1562.96,7.65
2023-01-15,Subscriptions,Cash,Gaming Subscriptions,573.07,33.79
2023-01-15,Dining Out,Online,Street Food,114.37,1.62
2023-01-15,Clothing,Cash,Children's Apparel,2294.0,130.59
2023-01-15,Dining Out,Cash,Coffee Shop Visit,415.28,34.54
2023-01-15,Health & Fitness,Online,Medical Consultations,2665.05,61.67
2023-01-15,Dining Out,Online,Coffee Shop Visit,468.66,20.56
2023-01-16,Entertainment,Cash,Art Supplies,348.21,33.71
2023-01-16,Travel,Cash,Hotel Accommodation,5125.43,240.85
2023-01-16,Clothing,Online,Fashion Accessories,683.0,24.15
2023-01-16,Dining Out,Cash,Special Occasion Dinner,4625.93,161.6
2023-01-16,Dining Out,Online,Lunch Takeaway,778.56,8.28
2023-01-17,Travel,Cash,Souvenirs,211.08,12.72
2023-01-17,Health & Fitness,Online,Medical Consultations,4427.69,384.67
2023-01-17,Clothing,Cash,Fashion Accessories,667.62,9.72
2023-01-18,Utilities,Cash,Water Bill,917.86,71.36
2023-01-18,Travel,Cash,Travel Accessories,4955.1,365.46
2023-01-18,Entertainment,Cash,Concert Tickets,2975.36,61.82
2023-01-18,Dining Out,Cash,Coffee Shop Visit,209.13,18.07
2023-01-19,Clothing,Online,Children's Apparel,1921.61,168.84
2023-01-19,Utilities,Online,Gas Bill,639.05,25.78
2023-01-19,Subscriptions,Online,Software Licenses,967.39,53.29
2023-01-20,Travel,Online,Travel Insurance,2465.04,39.82
2023-01-20,Transportation,Online,Car Insurance,2533.79,135.45
2023-01-21,Utilities,Cash,Electricity Bill,1287.8,68.56
2023-01-21,Health & Fitness,Online,Health Screenings,1086.95,10.79
2023-01-21,Health & Fitness,Online,Fitness Apps,124.39,10.72
2023-01-21,Housing,Online,Home Repairs,6960.17,101.7
