Date,Category,Payment Mode,Description,Amount Paid,Cashback
2023-08-01,Housing,Cash,Rent Payment,16924.41,523.87
2023-08-01,Entertainment,Cash,Sports Events Tickets,508.38,31.47
2023-08-01,Health & Fitness,Cash,Yoga Classes,233.93,8.79
2023-08-01,Health & Fitness,Cash,Fitness Apps,424.15,28.78
2023-08-02,Housing,Online,Rent Payment,12980.79,1156.7
2023-08-03,Dining Out,Online,Fast Food Meal,522.02,32.15
2023-08-03,Groceries,Online,Baking Ingredients,781.08,14.96
2023-08-03,Dining Out,Online,Coffee Shop Visit,482.03,25.02
2023-08-04,Groceries,Online,Baking Ingredients,335.06,29.99
2023-08-04,Transportation,Cash,Fuel Costs,6687.24,317.81
2023-08-04,Travel,Online,Car Rentals,2944.81,12.97
2023-08-04,Clothing,Cash,Tailoring Services,484.68,17.53
2023-08-05,Groceries,Online,Baking Ingredients,464.89,19.75
2023-08-05,Transportation,Cash,Car Insurance,2088.81,147.26
2023-08-05,Subscriptions,Cash,Gaming Subscriptions,1050.15,79.17
2023-08-05,Groceries,Cash,Condiments And Spices,274.34,20.27
2023-08-06,Entertainment,Online,Sports Events Tickets,1805.83,147.25
2023-08-06,Travel,Cash,Hotel Accommodation,8766.19,301.78
2023-08-06,Transportation,Cash,Car Loan Payment,7404.45,663.99
2023-08-06,Entertainment,Online,Streaming Equipment,4810.28,57.14
2023-08-06,Dining Out,Online,Coffee Shop Visit,147.73,3.66
2023-08-07,Transportation,Cash,Public Transit Pass,742.85,54.11
2023-08-07,Utilities,Cash,Home Heating Costs,4579.84,416.3
2023-08-07,Clothing,Online,Fashion Accessories,383.07,13.31
2023-08-07,Health & Fitness,Cash,Personal Training Sessions,4672.34,19.46
2023-08-07,Utilities,Cash,Mobile Phone Bill,335.25,32.54
2023-08-07,Dining Out,Cash,Dinner At A Restaurant,2004.73,178.97
2023-08-08,Health & Fitness,Cash,Nutritional Supplements,1121.73,9.6
2023-08-08,Entertainment,Online,Board Games,1797.36,21.03
2023-08-09,Groceries,Cash,Dairy Products,1811.75,48.76
2023-08-09,Travel,Online,Airfare,40630.31,3097.97
2023-08-09,Dining Out,Cash,Coffee Shop Visit,491.58,38.07
2023-08-10,Subscriptions,Cash,Streaming Services,772.33,74.87
2023-08-10,Housing,Cash,Furnishings,17502.89,197.36
2023-08-10,Travel,Online,Local Transportation,427.25,7.23
2023-08-11,Housing,Cash,Rent Payment,26779.83,1568.14
2023-08-12,Dining Out,Cash,Beverages At Bars,620.97,56.62
2023-08-12,Dining Out,Online,Coffee Shop Visit,146.19,12.88
2023-08-13,Utilities,Online,Mobile Phone Bill,1016.63,30.36
2023-08-13,Groceries,Online,Frozen Foods,862.68,67.89
2023-08-13,Entertainment,Online,Hobby Supplies,629.51,34.95
2023-08-14,Entertainment,Online,Board Games,1413.96,76.25
2023-08-14,Dining Out,Cash,Special Occasion Dinner,3489.12,95.15
2023-08-14,Dining Out,Online,Dinner At A Restaurant,2004.08,167.67
2023-08-15,Groceries,Cash,Cleaning Supplies,568.11,32.79
2023-08-15,Dining Out,Online,Coffee Shop Visit,169.67,6.87
2023-08-16,Health & Fitness,Cash,Medical Consultations,3373.8,313.13
2023-08-16,Groceries,Cash,Fruits And Vegetables,1678.12,88.44
2023-08-16,Subscriptions,Online,Streaming Services,930.3,91.14
2023-08-16,Clothing,Online,Underwear And Socks,793.51,34.43
2023-08-17,Utilities,Cash,Electricity Bill,2660.97,213.69
2023-08-17,Clothing,Online,Tailoring Services,534.97,44.77
2023-08-17,Subscriptions,Online,Gym Membership,911.96,64.66
2023-08-18,Clothing,Online,Underwear And Socks,764.22,74.04
2023-08-18,Dining Out,Cash,Coffee Shop Visit,181.74,13.11
2023-08-19,Travel,Cash,Car Rentals,1400.28,130.6
2023-08-19,Travel,Online,Travel Accessories,3178.09,33.68
2023-08-20,Subscriptions,Online,Software Licenses,923.93,89.28
2023-08-20,Clothing,Cash,Footwear,1389.92,78.95
2023-08-21,Clothing,Online,Work Attire,4192.74,367.95
2023-08-21,Health & Fitness,Cash,Wellness Programs,1259.91,70.27
2023-08-21,Dining Out,Cash,Dinner At A Restaurant,821.92,81.73
2023-08-21,Dining Out,Online,Coffee Shop Visit,348.3,2.67
2023-08-22,Utilities,Cash,Internet Service,1895.32,69.39
2023-08-22,Entertainment,Online,Theater Performances,2317.35,116.52
2023-08-22,Travel,Cash,Travel Insurance,2026.95,126.12
2023-08-22,Utilities,Online,Sewer Charges,453.74,41.24
2023-08-23,Transportation,Online,Vehicle Registration Fees,1368.76,84.41
2023-08-23,Dining Out,Online,Beverages At Bars,1392.17,129.41
2023-08-23,Transportation,Online,Public Transit Pass,1095.86,17.94
2023-08-23,Entertainment,Online,Art Supplies,610.21,28.87
2023-08-24,Utilities,Online,Water Bill,818.32,48.75
2023-08-24,Dining Out,Online,Coffee Shop Visit,199.29,13.75
2023-08-25,Clothing,Cash,Footwear,1180.4,116.2
2023-08-25,Health & Fitness,Online,Medical Consultations,3684.67,202.31
2023-08-25,Groceries,Online,Organic Produce,2881.48,6.08
2023-08-25,Health & Fitness,Online,Physical Therapy Sessions,2391.78,207.11
